name,url,description,type
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,Microsoft Windows Server 2012 Administration: The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators…,Knowledge & Skills
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,"Microsoft Word 365 - Essentials (New): The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the…",Knowledge & Skills
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,"Microsoft Word 365 (New): The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following…",Knowledge & Skills
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,"Mineral Engineering (New): Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical…",Knowledge & Skills
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,"Mining Engineering (New): Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy.",Knowledge & Skills
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,Mobility (New): Multi-choice test that measures the knowledge on topics related to mobility and mobile computing.,Knowledge & Skills
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,"Molecular Biology (New): Multi-choice test that measures the knowledge of molecular genetics, transgenics, rDNA technology, chromosomal genetics, transformation and related processes.",Knowledge & Skills
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,"MongoDB (New): Multi-choice test that measures the conceptual knowledge of MongoDB like sharding, replication, indexing, security and storage. It also checks the knowledge of…",Knowledge & Skills
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,"Motivation Questionnaire MQM5: By understanding what motivates their staff, managers can unlock each individual’s full potential and direct their energies more constructively. This…",Knowledge & Skills
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,MQ Candidate Motivation Report: The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an…,Knowledge & Skills
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,"MQ Employee Motivation Report: The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation…",Knowledge & Skills
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,"MQ Motivation Report Pack: The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your…",Knowledge & Skills
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,MQ Profile: The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as…,Knowledge & Skills
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,MS Access (New): Multi-choice test that measures the knowledge and basic understanding of MS Access programming.,Knowledge & Skills
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,"MS Excel (New): Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.",Knowledge & Skills
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,"MS Office Basic Computer Literacy (New): Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.",Knowledge & Skills
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,"MS Office Basic Computer Literacy (Sim) (New): Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email.",Knowledge & Skills
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,"MS PowerPoint (New): Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.",Knowledge & Skills
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,MS Word (New): Multi-choice test that measures the ability to use MS Word to record and save textual information.,Knowledge & Skills
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,"MuleSoft Development (New): Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment.",Knowledge & Skills
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,"Multitasking Ability: The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and…",Knowledge & Skills
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,"Networking and Implementation (New): Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.",Knowledge & Skills
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,"Node.js (New): Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express…",Knowledge & Skills
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,Nursing (New): Multi-choice test that measures the knowledge of carrying out various nursing tasks.,Knowledge & Skills
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"Occupational Personality Questionnaire OPQ32r: The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world…",Knowledge & Skills
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,"Operations Management (New): Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management.",Knowledge & Skills
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,OPQ Candidate Plus Report: A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.,Knowledge & Skills
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,OPQ Candidate Report 2.0: A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a…,Knowledge & Skills
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,OPQ Emotional Intelligence Report: This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people.  It is intended for use in…,Knowledge & Skills
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,OPQ Leadership Report: This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading…,Knowledge & Skills
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,OPQ Manager Plus Report: This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers.  It uses clear succinct bullets and tables for ease…,Knowledge & Skills
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,OPQ Manager Plus Report 2.0: This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease…,Knowledge & Skills
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,OPQ Maximising your Learning Report: This OPQ (Occupational Personality Questionnaire) report is designed to help people get the most from their development.  It summarises the preferred approach…,Knowledge & Skills
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,OPQ MQ Sales Report: This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales…,Knowledge & Skills
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,"OPQ Premium Plus Report: This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate…",Knowledge & Skills
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,"OPQ Premium Plus Report 2.0 : This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate…",Knowledge & Skills
Social Media (New),https://www.shl.com/products/product-catalog/view/social-media-new/,Social Media (New): Multi-choice test that measures the knowledge about the different social media platforms.,Knowledge & Skills
Software Business Analysis,https://www.shl.com/products/product-catalog/view/software-business-analysis/,"Software Business Analysis: The Software Business Analysis test measures ability to acquire and understand business requirements for an IT project, develop technical assets in support of…",Knowledge & Skills
SonarQube (New),https://www.shl.com/products/product-catalog/view/sonarqube-new/,"SonarQube (New): Multi-choice test that measures the knowledge of SonarQube, integration tests, Sonar symbols, wildcards, quality cover and Sonar architecture.",Knowledge & Skills
Spelling (U.S.) (New),https://www.shl.com/products/product-catalog/view/spelling-u-s-new/,Spelling (U.S.) (New): Multi-choice test that measures the knowledge of correct spellings in English and the ability to identify spelling errors in sentences.,Knowledge & Skills
Split Screen Typing Test - Form 1,https://www.shl.com/products/product-catalog/view/split-screen-typing-test-form-1/,"Split Screen Typing Test - Form 1: This test measures speed and accuracy in typing text presented on the computer screen. In this assessment, the text original is displayed directly above the…",Knowledge & Skills
Spring (New),https://www.shl.com/products/product-catalog/view/spring-new/,"Spring (New): Multi-choice test that measures the knowledge of Spring core, AOP, IOC container and transactions.",Knowledge & Skills
SQL (New),https://www.shl.com/products/product-catalog/view/sql-new/,"SQL (New): Multi-choice test that measures the knowledge of SQL queries, data manipulation and transaction processing.",Knowledge & Skills
SQL Server (New),https://www.shl.com/products/product-catalog/view/sql-server-new/,"SQL Server (New): Multi-choice test that measures the knowledge of basic SQL queries, creating and altering tables, filtering, grouping, aggregation in SQL and querying multiple…",Knowledge & Skills
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,"SQL Server Analysis Services (SSAS) (New): Multi-choice test that measures the knowledge of SSAS database, querying multidimensional analysis solutions, cube hierarchies, measures, dimensions, power BI…",Knowledge & Skills
SQL Server Integration Services (SSIS) (New),https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/,"SQL Server Integration Services (SSIS) (New): Multi-choice test that measures the knowledge of SSIS architecture, components, control flow, data flow, transformation, SQL server tasks, SSIS administration…",Knowledge & Skills
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,"SQL Server Reporting Services (SSRS) (New): Multi-choice test that measures the knowledge of SSRS architecture, report creation, formatting, calculations, creating matrix reports and charts, grouping…",Knowledge & Skills
Statistical Analysis System (New),https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/,Statistical Analysis System (New): Multi-choice test that measures the ability to use the SAS software for statistical analysis.,Knowledge & Skills
Struts (New),https://www.shl.com/products/product-catalog/view/struts-new/,"Struts (New): Multi-choice test that measures the knowledge of Struts framework, configuration, validations, actions and interceptors.",Knowledge & Skills
SVAR - Spoken English (AUS),https://www.shl.com/products/product-catalog/view/svar-spoken-english-aus/,"SVAR - Spoken English (AUS): An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.     Your use of…",Knowledge & Skills
SVAR - Spoken English (Indian Accent) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-indian-accent-new/,"SVAR - Spoken English (Indian Accent)  (New): An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.     Your use of…",Knowledge & Skills
SVAR - Spoken English (U.K.),https://www.shl.com/products/product-catalog/view/svar-spoken-english-u-k/,"SVAR - Spoken English (U.K.): An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.     Your use of…",Knowledge & Skills
